provider,card_number,is_stolen
visa16,4903598146353142,1
mastercard,5224017024736475,0
visa16,4649342018956552,0
amex,375728770307711,0
mastercard,5219446199551129,0
visa16,4884189834940748,0
mastercard,5218787637534578,0
mastercard,5364741083070316,1
visa16,4585736201992355,0
amex,340618132057629,0
mastercard,5148344763435645,0
mastercard,5263383430431172,1
visa16,4181600142441013,0
visa16,4615036202357383,0
visa16,4047034455892568,0
mastercard,5346062990598064,1
mastercard,5247042391759242,0
amex,379585759744736,0
mastercard,5275527857875917,0
visa13,4151928415386,0
visa16,4211711229745806,0
visa16,4583508683102999,1
amex,349904769876866,0
visa16,4115659820946272,0
visa16,4444332888693242,0
visa16,4999341619883526,0
visa13,4642630512817,1
visa16,4935055428962092,0
visa16,4538857464656434,0
visa16,4519582007362034,0
amex,341446057822531,0
visa16,4263581819494587,1
amex,342246591734351,0
mastercard,5152566956686732,0
visa16,4308439527455720,0
visa16,4370349633190728,0
visa16,4288948005788430,1
mastercard,5137093607125796,0
visa16,4202178075936999,0
visa16,4876027783873470,0
amex,372629438608594,1
visa13,4547080458108,0
amex,376157508584673,0
amex,376418941831471,0
mastercard,5117788136700415,0
visa16,4328189213088477,0
visa16,4145032184000082,0
visa16,4579846526838254,1
visa16,4704474120858996,0
visa16,4304799130102793,0
amex,347466709810092,0
visa16,4021577054620590,1
mastercard,5121911982714025,0
visa16,4318436858994085,0
visa16,4712156508879450,0
mastercard,5186842942167248,1
amex,375489216047771,0
mastercard,5351112924275537,0
visa16,4571342453025774,0
amex,340187812647422,0
mastercard,5269327752314718,0
amex,348822332697802,0
amex,375329067404392,1
amex,344311068385695,0
visa16,4360698535364266,0
amex,376097951840448,0
amex,340913623307579,0
visa16,4108748008971704,0
mastercard,5266726994511010,1
visa13,4422405427644,0
visa16,4043485880899442,0
visa16,4916267409963493,1
mastercard,5322706318061480,0
visa13,4943972013830,0
amex,348225047079417,0
visa16,4138429171844721,1
visa16,4581463896023230,0
mastercard,5341172707845040,0
amex,343944143146004,0
mastercard,5373859431140679,0
visa13,4023665161673,0
mastercard,5182715179747342,0
mastercard,5106602801653184,0
mastercard,5181646342405446,0
visa16,4854417957846764,1
amex,371281422139482,1
visa16,4575653415248791,0
amex,346934071556883,0
visa16,4682669784468430,0
visa16,4188706772420830,0
visa16,4354149734366155,0
visa13,4106569800239,1
visa16,4393370835933437,0
visa16,4452831015540357,0
visa13,4755169961765,0
mastercard,5349263770788951,0
visa16,4830921531742265,0
visa13,4103004803191,0
amex,343395553922873,0
visa13,4767136792348,1
amex,370645725364594,0
amex,347849497460461,0
visa16,4386956549148715,1
visa16,4610115636544587,0
amex,375969995781005,0
visa16,4705601446924610,0
visa13,4485056830408,0
visa16,4170642254001980,0
visa16,4280568763951695,0
visa16,4758235523279659,1
visa13,4620071665898,0
visa16,4324651325137157,0
amex,342847411550024,1
mastercard,5313807127796885,0
mastercard,5118101537513768,0
mastercard,5220487278338753,0
visa13,4659440871910,0
visa16,4466492851398592,0
amex,349687732963396,0
visa16,4114138222877675,1
amex,346152193782283,0
mastercard,5347775040109207,0
visa16,4658690874995462,0
visa16,4538936115339861,0
mastercard,5162493150923738,1
mastercard,5396504651096416,0
visa16,4474061327403862,0
amex,378192028789096,0
visa16,4647451600350207,0
amex,346122828104807,1
visa16,4464467019141417,1
visa16,4295092418819747,0
amex,343574009672197,0
mastercard,5365249577308183,0
amex,370170684581179,0
mastercard,5213135045543192,1
amex,378148717675509,0
mastercard,5276619291008145,0
visa16,4082566453155932,0
visa16,4669104035069107,0
amex,341804137431659,0
visa16,4115392312000743,0
visa13,4272688963611,0
visa16,4000800641120857,1
visa16,4209593999604270,0
visa16,4663450460190272,1
mastercard,5254428794685995,0
visa16,4753829312463311,0
visa16,4829567718377160,0
visa16,4983673714224224,0
mastercard,5211182956109813,0
visa16,4479988591191358,0
mastercard,5246628589670224,0
amex,374593214244693,1
amex,370207451795804,0
visa13,4493650429916,1
visa16,4930340616086820,0
amex,375709168471020,0
visa13,4342281017154,0
mastercard,5200173007996103,0
amex,341622397793331,0
amex,347895606809700,0
visa13,4798409165573,1
amex,349023179700044,0
visa16,4610665074778006,0
visa16,4796262230180412,0
amex,374973782387027,0
visa16,4870953023266066,0
visa16,4177953869456839,1
amex,370256069790327,0
amex,340695832517888,1
mastercard,5154591866869671,0
visa16,4407898310719859,0
visa16,4656968315098027,0
mastercard,5272867065008346,0
mastercard,5230875582902710,0
visa13,4823584385968,0
visa16,4372939993724302,1
amex,340357429518379,0
visa13,4158926171176,0
visa13,4994262496334,0
mastercard,5354902544497025,1
visa16,4809227640944579,0
visa13,4843092982700,0
amex,349340337601801,0
amex,340060748320986,0
visa16,4683680056271807,1
amex,346572642569918,0
visa16,4845429792955934,0
amex,371775257961811,0
visa13,4181672173725,1
visa16,4789394702615960,0
visa16,4039126861942555,0
amex,372066314005639,0
mastercard,5208031430304091,0
mastercard,5374435678968772,0
mastercard,5141452434917375,0
mastercard,5275804040578678,0
visa16,4631234613376353,0
visa16,4989052763916093,1
visa16,4413736738789801,0
